sep=;
Verein;Spiellokal;Strasse;Ort
DC Black Knights Karlsruhe;Vereinsheim DC Flatliners;Hardtstr . 37 (Bau II);76185 Karlsruhe
DC El Diabolo;Bistro Diamonds Lounge;Lessingstrasse 2;67346 Speyer
DC Flatliners Karlsruhe 1;Vereinsheim DC Flatliners;Hardtstr. 37 (Bau II);76185 Karlsruhe
Dartspub Walldorf 2;Gaststätte Zur alten Rose;Häusserstr. 22;68789 St. Leon
Gegen die Drück 1;Arabica;Rudolf-Diesel-Str. 2;69207 Sandhausen
Gegen die Drück 2;ARABICA;Rudolf-Diesel-Str. 2;69207 Sandhausen
Taraxacuma Bulls;Holzwurm;Rheinstr. 60;76661 Philippsburg-Huttenheim
Taraxacuma Eagles;Holzwurm;Rheinstr. 60;76661 Philippsburg-Huttenheim
Taraxacuma Lions;Holzwurm;Rheinstr. 60;76661 Philippsburg-Huttenheim
Alla Häeeeehr Pforzheim;Vereinsheim Alla Häeeeehr;Blücherstr. 32;75177 Pforzheim
DC Breakers 1;Cafe Ricks;Melanchthonstr. 100;75015 Bretten
Dartspub Walldorf 3;Gaststätte Zur alten Rose;Häusserstr. 22;68789 St. Leon
DC Black Knights Hördt 2;Bistro 7;Schulzenstr. 24;76771 Hördt
DC Flatliners Karlsruhe 2;Vereinsheim DC Flatliners;Hardtstr. 37 (Bau II);76185 Karlsruhe
DC LaOla Weinheim;Sportsbar;Im Herrengarten 4 (Hauptstraße);69488 Birkenau
DC Letschebach;Endstation Gleis 8;Hauptbahnstraße 1;76227 Karlsruhe-Durlach
DC Reiterstüble Eppingen 1;Reiterstüble;Talstr. 25;75031 Eppingen
DC Studenten Bellheim 1;Tom`s Cafè Bistro;Hauptstr. 106;76756 Bellheim
DC Underground Fools e.V;Vereinsheim Underground Fools;Weiherstr.30;75173 Pforzheim
Freygerber Fighters;Empty;Empty;Empty
1. DC Jokers Hockenheim;Hundehäus'l;Altwingertweg 2;68766 Hockenheim
DC Reiterstüble Eppingen 2;Reiterstüble;Talstr. 25;75031 Eppingen
DC Undertaker reloaded 1;Gaststätte Zur alten Rose;Häusserstr. 22;68789 St. Leon
DC Undertaker reloaded 2;Gaststätte Zur alten Rose;Häusserstr. 22;68789 St. Leon
Gegen die Drück 3;Schraubstöckl;Johann-Nikolaus-Kolb Strasse 25;69207 Sandhausen
Gegen die Drück 4;Bistro J Dartkneipe;Rudolf-Diesel-Str. 2;69207 Sandhausen
Ideal Wild Tigers;Bistro Ideal;Mannheimer Str. 44a;68723 Oftersheim
Iron Eagles;Bistro Connect;Langgasse 32;67459 Böhl-Iggelheim
Taraxacuma Die Dritte;Holzwurm;Rheinstr. 60;76661 Philippsburg-Huttenheim
Taraxacuma TNT;Holzwurm;Rheinstr. 60;76661 Philippsburg-Huttenheim
Team Wilder Mann;Bistro Ideal;Mannheimer Str. 44a;68723 Oftersheim
DC Blau-Weiß Karlsruhe;Dart Schubbe;Steinkreuzstr. 14;76228 Karlsruhe-Wolfartsweier
D.A.R.T. Plumbata e.V.;Church Chill Sportsbar;Karlstrasse 115;76137 Karlsruhe
Dart Train Rastatt;Zur Fohlenweide;Ötigheimer Weg 92;76437 Rastatt
DC 81 Karlsruhe;Der Hexenkessel;Hardtstr. 45a;76185 Karlsruhe
DC Shamrock;Matzes Pub;Heidelberger Str. 1;76669 Bad Schönborn
Gaggenauer Dartmoskitos 1;Jedermann'Spoga;Waldstr. 38;76571 Gaggenau
Gaggenauer Dartmoskitos 2;Jedermann'Spoga;Waldstr. 38;76571 Gaggenau
Karlsruher Dart Freunde (KDF);Dart-Trainingszentrum;Hauptstrasse 87;76344 Eggenstein
Taraxacuma Tornados;Holzwurm;Rheinstr. 60;76661 Philippsburg-Huttenheim
Taraxacuma Wölfe;Holzwurm;Rheinstr. 60;76661 Philippsburg-Huttenheim
Stingrays;Bullfinish das Trainingszentrum;Hauptstrasse 87;76344 Eggenstein-Leopoldshafen
501 Jacky Dart`s;Bistro 7;Schulzenstrasse 24;76771 Hördt
DC Un'BE'lievable;Zum Kreuzeck - Bei de Be;Obere Hauptstrasse 104;76863 Herxheim
DA Underdogs;Bullfinish das Trainingszentrum;Hauptstrasse 87;76344 Eggenstein-Leopoldshafen
DC Studenten Bellheim 2;Tom's Bistro;Hauptstrasse 106;76756 Bellheim
DC Breakers 2;Cafe Ricks;Melanchtonstrasse 100;75015 Bretten
One 80`s;Bullfinish das Trainingszentrum;Hauptstrasse 87;76344 Eggenstein-Leopoldshafen
